41493	A215	ExposureIndex	
41495	A217	SensingMethod	
41728	A300	FileSource	
41729	A301	SceneType	
41730	A302	CFAPattern	
41985	A401	CustomRendered	
41986	A402	ExposureMode	
41987	A403	WhiteBalance	
41988	A404	DigitalZoomRatio	
41989	A405	FocalLengthIn35mmFilm	
41990	A406	SceneCaptureType	
41991	A407	GainControl	
41992	A408	Contrast	
41993	A409	Saturation	
41994	A40A	Sharpness	
41995	A40B	DeviceSettingDescription	
41996	A40C	SubjectDistanceRange	
42016	A420	ImageUniqueID	
42112	A480	GDAL_METADATA	
42113	A481	GDAL_NODATA	
48129	BC01	PixelFormat	
48130	BC02	Transformation	
48131	BC03	Uncompressed	
48132	BC04	ImageType	
48256	BC80	ImageWidth	
48257	BC81	ImageHeight	
48258	BC82	WidthResolution	
48259	BC83	HeightResolution	
48320	BCC0	ImageOffset	
48321	BCC1	ImageByteCount	
48322	BCC2	AlphaOffset	
48323	BCC3	AlphaByteCount	
48324	BCC4	ImageDataDiscard	
48325	BCC5	AlphaDataDiscard	
48132	BC04	ImageType	
50215	C427	Oce Scanjob Description	
50216	C428	Oce Application Selector	
50217	C429	Oce Identification Number	
50218	C42A	Oce ImageLogic Characteristics	
50706	C612	DNGVersion 	
50707	C613	DNGBackwardVersion 	
50708	C614	UniqueCameraModel 	
50709	C615	LocalizedCameraModel 	
50710	C616	CFAPlaneColor 	
50711	C617	CFALayout 	
50712	C618	LinearizationTable 	
50713	C619	BlackLevelRepeatDim 	
50714	C61A	BlackLevel 	
50715	C61B	BlackLevelDeltaH 	
50716	C61C	BlackLevelDeltaV 	
50717	C61D	WhiteLevel 	
50718	C61E	DefaultScale 	
50719	C61F	DefaultCropOrigin 	
50720	C620	DefaultCropSize 	
50721	C621	ColorMatrix1 	
50722	C622	ColorMatrix2 	
50723	C623	CameraCalibration1 	
50724	C624	CameraCalibration2 	
50725	C625	ReductionMatrix1 	
50726	C626	ReductionMatrix2 	
50727	C627	AnalogBalance 	
50728	C628	AsShotNeutral 	
50729	C629	AsShotWhiteXY 	
50730	C62A	BaselineExposure 	
50731	C62B	BaselineNoise 	
50732	C62C	BaselineSharpness 	
50733	C62D	BayerGreenSplit 	
50734	C62E	LinearResponseLimit 	
50735	C62F	CameraSerialNumber 	
50736	C630	LensInfo 	
50737	C631	ChromaBlurRadius 	
50738	C632	AntiAliasStrength 	
50740	C634	DNGPrivateData 	
50741	C635	MakerNoteSafety 	
50778	C65A	CalibrationIlluminant1 	
50779	C65B	CalibrationIlluminant2 	
50780	C65C	BestQualityScale 	
50784	C660	Alias Layer Metadata	
50879	C6BF	ColorimetricReference 	
50931	C6F3	CameraCalibrationSignature 	
50932	C6F4	ProfileCalibrationSignature 	
50933	C6F5	ExtraCameraProfiles 	
50934	C6F6	AsShotProfileName 	
50935	C6F7	NoiseReductionApplied 	
50936	C6F8	ProfileName 	
50937	C6F9	ProfileHueSatMapDims 	
50938	C6FA	ProfileHueSatMapData1 	
50939	C6FB	ProfileHueSatMapData2 	
50940	C6FC	ProfileToneCurve 	
50941	C6FD	ProfileEmbedPolicy 	
50942	C6FE	ProfileCopyright 	
50964	C714	ForwardMatrix1 	
50965	C715	ForwardMatrix2 	
50966	C716	PreviewApplicationName 	
50967	C717	PreviewApplicationVersion 	
50968	C718	PreviewSettingsName 	
50969	C719	PreviewSettingsDigest 	
50970	C71A	PreviewColorSpace 	
50971	C71B	PreviewDateTime 	
50972	C71C	RawImageDigest 	
50973	C71D	OriginalRawFileDigest 	
50974	C71E	SubTileBlockSize 	
50975	C71F	RowInterleaveFactor 	
50981	C725	ProfileLookTableDims 	
50982	C726	ProfileLookTableData 	
51008	C740	OpcodeList1 	
51009	C741	OpcodeList2 	
51022	C74E	OpcodeList3 	
51041	C761	NoiseProfile 	
51089	C791	OriginalDefaultFinalSize 	
51090	C792	OriginalBestQualityFinalSize 	
51091	C793	OriginalDefaultCropSize 	
51107	C7A3	ProfileHueSatMapEncoding 	
51108	C7A4	ProfileLookTableEncoding 	
51109	C7A5	BaselineExposureOffset 	
51110	C7A6	DefaultBlackRender 	
51111	C7A7	NewRawImageDigest 	
51112	C7A8	RawToPreviewGain 	
51125	C7B5	DefaultUserCrop 	
